Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
DS20,INT,0013h,"FC=03,06,16","VFD2 Set Frequency",0,Yes,""
DS21,INT,0014h,"FC=03,06,16","VFD2 Run Command Code",18,No,""
DS22,INT,0015h,"FC=03,06,16","VFd2 Stop Comman Code",1,No,""
DS25,INT,0018h,"FC=03,06,16","VFD2 Display Set Freq",0,Yes,""
DS100,INT,0063h,"FC=03,06,16","VFD1 Error",0,Yes,"Start of VFD1 Receive Buffer"
DS101,INT,0064h,"FC=03,06,16","VFD1 Status",0,Yes,""
DS102,INT,0065h,"FC=03,06,16","VFD1 Frequency",0,Yes,""
DS103,INT,0066h,"FC=03,06,16","VFD1 H",0,Yes,""
DS104,INT,0067h,"FC=03,06,16","VFD1 Current",0,Yes,""
DS105,INT,0068h,"FC=03,06,16","VFD1 DC Buss Voltage",0,Yes,""
DS106,INT,0069h,"FC=03,06,16","VFD1 AC Output Votage",0,Yes,""
DS107,INT,006Ah,"FC=03,06,16","VFD1 Multi Speed",0,Yes,""
DS108,INT,006Bh,"FC=03,06,16","VFD1 Active Warning",0,Yes,""
DS109,INT,006Ch,"FC=03,06,16","VFD1 DI6 Counter Val",0,Yes,""
DS110,INT,006Dh,"FC=03,06,16","VFD1 Power Factor",0,Yes,""
DS111,INT,006Eh,"FC=03,06,16","VFD1 Percent Load",0,Yes,""
DS112,INT,006Fh,"FC=03,06,16","VFD1 RPM",0,Yes,""
DS113,INT,0070h,"FC=03,06,16","",0,Yes,""
DS114,INT,0071h,"FC=03,06,16","",0,Yes,""
DS115,INT,0072h,"FC=03,06,16","",0,Yes,""
DS116,INT,0073h,"FC=03,06,16","",0,Yes,""
DS117,INT,0074h,"FC=03,06,16","",0,Yes,""
DS119,INT,0076h,"FC=03,06,16","VFD1 Send Error Code",0,Yes,"Start Of VFD2 Receive Buffer"
DS121,INT,0078h,"FC=03,06,16","VFD2 Status",0,Yes,""
DS122,INT,0079h,"FC=03,06,16","VFD2 Frequency",0,Yes,""
DS123,INT,007Ah,"FC=03,06,16","VFD2 H",0,Yes,""
DS124,INT,007Bh,"FC=03,06,16","VFD2 Current",0,Yes,""
DS125,INT,007Ch,"FC=03,06,16","VFD2 DC Buss Voltage",0,Yes,""
DS126,INT,007Dh,"FC=03,06,16","VFD2 AC Output Votage",0,Yes,""
DS139,INT,008Ah,"FC=03,06,16","VFD2 Send Error Code",0,Yes,""
DD1,INT2,4000h,"FC=03,06,16","FlowFreq1_Freq",0,Yes,""
DF1,FLOAT,7000h,"FC=03,06,16","",0,Yes,""
DF2,FLOAT,7002h,"FC=03,06,16","",0,Yes,""
DF3,FLOAT,7004h,"FC=03,06,16","",0,Yes,""
DF4,FLOAT,7006h,"FC=03,06,16","",0,Yes,""
DF5,FLOAT,7008h,"FC=03,06,16","",0,Yes,""
DF6,FLOAT,700Ah,"FC=03,06,16","",0,Yes,""
DF7,FLOAT,700Ch,"FC=03,06,16","",0,Yes,""
DF8,FLOAT,700Eh,"FC=03,06,16","",0,Yes,""
DF10,FLOAT,7012h,"FC=03,06,16","",0,Yes,""
DF30,FLOAT,703Ah,"FC=03,06,16","Pressure1",0,Yes,""
DF31,FLOAT,703Ch,"FC=03,06,16","",0,Yes,""
DF130,FLOAT,7102h,"FC=03,06,16","",0,Yes,"VFD1 Cal Frequency"
DF131,FLOAT,7104h,"FC=03,06,16","",0,Yes,"VFD1 Cal Hertz"
DF132,FLOAT,7106h,"FC=03,06,16","",0,Yes,"VFD1 Cal Current"
DF133,FLOAT,7108h,"FC=03,06,16","",0,Yes,"VFD1 Cal DC Bus Voltage"
DF134,FLOAT,710Ah,"FC=03,06,16","",0,Yes,"VFD1 Cal AC Output Voltage"
DF140,FLOAT,7116h,"FC=03,06,16","",0,Yes,"VFD2 Cal Frequency"
DF141,FLOAT,7118h,"FC=03,06,16","",0,Yes,"VFD2 Cal Hertz"
DF142,FLOAT,711Ah,"FC=03,06,16","",0,Yes,"VFD2 Cal Current"
DF143,FLOAT,711Ch,"FC=03,06,16","",0,Yes,"VFD2 Cal DC Bus Voltage"
DF144,FLOAT,711Eh,"FC=03,06,16","",0,Yes,"VFD2 Cal AC Output Voltage"
TD1,INT,B000h,"FC=03,06,16","",0,No,""
SD50,INT,F031h,"FC=03,06,16","_Port2_Received_Data_Len",0,No,""
SD60,INT,F03Bh,"FC=03,06,16","_Port3_Received_Data_Len",0,No,""
